Name,Annual income ($MM)
Mark Wahlberg,68
"Dwayne ""The Rock"" Johnson",65
Vin Diesel,54.5
Adam Sandler,50.5
Jackie Chan,49
Robert Downey Jr.,48
Tom Cruise,43
Shah Rukh Khan,38
Salman Khan,37
Akshay Kumar,35.5
Chris Hemsworth,31.5
Tom Hanks,31
Samuel L. Jackson,30.5
Ryan Gosling,29
Ryan Reynolds,21.5
Matt Damon,21
Jeremy Renner,19
Chris Evans,18
Chris Pratt,17
Mark Ruffalo,13
