"Rank","Name","Company","1-Year Pay ($mil)","5 Year Pay ($mil)","Shares Owned ($mil)","Age","Efficiency"
69,"Chenault, Kenneth IKenneth I Chenault","American Express",17.44,95.19,43.5,59,"193"
70,"Farris, G StevenG Steven Farris","Apache",17.36,69.05,58.6,63,"95"
71,"Finnegan, John DJohn D Finnegan","Chubb",17.21,106,45.8,62,"86"
72,"Eckert, Robert ARobert A Eckert","Mattel",16.91,53.87,9.6,56,"108"
73,"Roberts, Brian LBrian L Roberts","Comcast",16.845,146.28,458.5,51,"159"
74,"Weeks, Wendell PWendell P Weeks","Corning",16.76,69.5,10.5,51,"-"
75,"Rosenfeld, Irene BIrene B Rosenfeld","Kraft Foods",16.715,33.382,29.1,57,"-"
76,"van Paasschen, Frits DFrits D van Paasschen","Starwood Hotels",16.66,25.012,11.2,49,"-"
77,"Brock, John FJohn F Brock","Coca-Cola Enterprises",16.59,27.96,4.4,62,"-"
78,"Ryan, Thomas MThomas M Ryan","CVS Caremark",16.565,117.49,73.6,58,"157"
79,"McClendon, Aubrey KAubrey K McClendon","Chesapeake Energy",16.555,307.02,98.3,50,"161"
80,"Parkinson, Robert L JrRobert L Parkinson Jr","Baxter International",16.42,40.51,17.7,60,"78"
81,"Yost, R DavidR David Yost","AmerisourceBergen",16.37,44.65,56.9,64,"30"
82,"Duke, Michael TMichael T Duke","Wal-Mart Stores",16.275,,36.8,60,"-"
83,"Kennedy, James A CJames A C Kennedy","T Rowe Price",15.97,54.73,163.6,58,"-"
84,"Starks, Daniel JDaniel J Starks","St Jude Medical",15.955,82.92,311.9,57,"-"
85,"Dreiling, Richard WRichard W Dreiling","Dollar General",15.895,,9.6,58,"-"
86,"White, Miles DMiles D White","Abbott Laboratories",15.51,117.5,61.5,56,"187"
87,"Dolan, James LJames L Dolan","Cablevision Systems",15.335,85.62,41,55,"64"
88,"Bewkes, Jeffrey LJeffrey L Bewkes","Time Warner",15.315,48.473,10,58,"-"
89,"Moreland, W BenjaminW Benjamin Moreland","Crown Castle Intl",15.215,,35.5,47,"-"
90,"Murdoch, K RupertK Rupert Murdoch","News Corp",15.2,107.85,5325.8,80,"178"
91,"Bartz, CarolCarol Bartz","Yahoo",15.165,,27,62,"-"
92,"Donegan, MarkMark Donegan","Precision Castparts",15.1,87.17,31.8,53,"15"
93,"Sullivan, William PWilliam P Sullivan","Agilent Technologies",14.92,53.68,14,62,"89"
94,"Renwick, Glenn MGlenn M Renwick","Progressive",14.81,44.1,70.9,55,"110"
95,"Klappa, Gale EGale E Klappa","Wisconsin Energy",14.75,35.94,6.4,60,"47"
96,"Jha, Sanjay KSanjay K Jha","Motorola Moity",14.7,,26.8,48,"-"
97,"Parker, Mark GMark G Parker","NIKE",14.53,43.83,21.6,55,"-"
98,"Stevens, Robert JRobert J Stevens","Lockheed Martin",14.47,120.77,32.3,59,"143"
99,"Roell, Stephen AStephen A Roell","Johnson Controls",14.27,43.582,28,61,"-"
100,"Thaman, Michael HMichael H Thaman","Owens Corning",14.26,25.662,25.7,47,"-"
101,"Miller, Merrill A JrMerrill A Miller Jr","National Oilwell Varco",14.18,39.15,46.1,60,"16"
102,"Wiehoff, John PJohn P Wiehoff","CH Robinson Worldwide",14.1,45.85,73.2,49,"8"
103,"D'Souza, FranciscoFrancisco D'Souza","Cognizant Technology",14.065,19.432,8.2,42,"-"
104,"McGregor, Scott AScott A McGregor","Broadcom",14,41.85,15.7,55,"41"
105,"Beauchamp, Robert ERobert E Beauchamp","BMC Software",13.84,69.13,40.2,51,"65"
106,"Lesar, David JDavid J Lesar","Halliburton",13.695,114.03,36.4,58,"126"
107,"Termeer, Henri AHenri A Termeer","Genzyme",13.4,53.01,52.2,65,"165"
108,"Smith, Wayne TWayne T Smith","Community Health Sys",13.345,52.33,48,65,"117"
109,"Balmuth, MichaelMichael Balmuth","Ross Stores",13.175,60.11,26.7,60,"20"
110,"Bunch, Charles ECharles E Bunch","PPG Industries",13.13,32.42,21.1,61,"-"
111,"Solso, Theodore MTheodore M Solso","Cummins",12.62,60.6,56.5,64,"10"
112,"Dimon, JamesJames Dimon","JPMorgan Chase",12.565,109.96,232.1,55,"-"
113,"Havner, Ronald L JrRonald L Havner Jr","Public Storage",12.36,47.2,3.8,53,"32"
114,"Cote, David MDavid M Cote","Honeywell",12.13,66.08,22.7,58,"114"
115,"Lundgren, Terry JTerry J Lundgren","Macy's",12.055,43.85,3.7,59,"177"
116,"Jung, AndreaAndrea Jung","Avon Products",12.01,49.66,10.8,52,"171"
117,"Kent, MuhtarMuhtar Kent","Coca-Cola",11.88,25.593,12.4,58,"-"
118,"Appleton, Steven RSteven R Appleton","Micron Technology",11.61,20.04,21,51,"145"
119,"Angel, Stephen FStephen F Angel","Praxair",11.56,45.78,15.2,56,"-"
120,"Conant, Douglas RDouglas R Conant","Campbell Soup",11.41,48.75,22.7,59,"151"
121,"Jellison, Brian DBrian D Jellison","Roper Industries",11.325,41.51,73,65,"54"
122,"Kelly, Richard CRichard C Kelly","Xcel Energy",11.31,36.02,13.7,64,"-"
123,"Mulva, James JJames J Mulva","ConocoPhillips",11.265,95.17,63.6,64,"139"
124,"McNerney, W James JrW James McNerney Jr","Boeing",10.94,65.55,29.9,61,"-"
125,"Strianese, Michael TMichael T Strianese","L-3 Communications",10.87,32.09,2.6,55,"-"
126,"Sargent, Ronald LRonald L Sargent","Staples",10.775,80.93,37.9,55,"180"
127,"Donahoe, John JJohn J Donahoe","Ebay",10.51,16.913,7.1,49,"-"
128,"Liveris, Andrew NAndrew N Liveris","Dow Chemical",10.41,40.89,10.8,57,"184"
129,"Holliday, MarcMarc Holliday","SL Green",10.325,93.47,27.1,44,"136"
130,"Strangfeld, John R JrJohn R Strangfeld Jr","Prudential Financial",10.31,51.452,12,57,"-"
131,"Mohapatra, Surya NSurya N Mohapatra","Quest Diagnostics",10.295,36.2,19.5,61,"-"
132,"Hess, John BJohn B Hess","Hess",10.19,226.81,733.9,57,"113"
133,"Koffel, Martin MMartin M Koffel","URS",10.195,63.17,25.9,72,"144"
134,"Wiseman, Eric CEric C Wiseman","VF",10.18,23.292,12.3,55,"-"
135,"Brown, Gregory QGregory Q Brown","Motorola Solutions",10.07,21.532,10.1,51,"-"
136,"Meyrowitz, Carol MCarol M Meyrowitz","TJX Cos",10.065,33.422,24.4,57,"-"
137,"Nelms, David WDavid W Nelms","Discover Finl Services",10.05,60.19,26.8,50,"-"
138,"Farrell, Thomas F IIThomas F Farrell II","Dominion Resources",10.03,60.85,39.5,56,"-"
139,"Case, Gregory CGregory C Case","Aon",9.965,26.49,23.2,48,"-"
140,"Andreotti, LambertoLamberto Andreotti","Bristol-Myers Squibb",9.87,,5,60,"-"
141,"Tillerson, Rex WRex W Tillerson","ExxonMo",9.735,40.292,129.1,58,"-"
142,"Cordani, David MDavid M Cordani","Cigna",9.67,,6,45,"-"
143,"Fishman, Jerald GJerald G Fishman","Analog Devices",9.67,45.22,15.9,65,"117"
144,"Kelly, Robert PRobert P Kelly","Bank of New York",9.65,34.242,22.2,56,"-"
145,"Immelt, Jeffrey RJeffrey R Immelt","General Electric",9.62,53.82,101.5,55,"195"
146,"Rhodes, William C IIIWilliam C Rhodes III","AutoZone",9.54,20.62,3.9,45,"-"
147,"Braly, Angela FAngela F Braly","WellPoint",9.49,21.632,25.5,49,"-"
148,"Hay, Lewis IIILewis Hay III","NextEra Energy",9.475,61.66,25.4,55,"102"
149,"Loranger, Steven RSteven R Loranger","ITT",9.36,50.01,17.3,59,"146"
150,"Jacobs, Paul EPaul E Jacobs","Qualcomm",9.2,71.62,77.4,69,"-"
151,"Stebbins, Paul HPaul H Stebbins","World Fuel Services",9.145,43.19,28.7,54,"6"
152,"Coury, Robert JRobert J Coury","Mylan",9.095,32.43,16.4,50,"154"
153,"Maffei, Gregory BGregory B Maffei","Liberty Interactive Gp",8.97,28.75,8.3,50,"-"
154,"Lovett, Michael JMichael J Lovett","Charter Commun",8.94,,8.9,49,"-"
155,"Rowe, John WJohn W Rowe","Exelon",8.91,135.92,15.7,65,"182"
156,"Guertin, Timothy ETimothy E Guertin","Varian Medical Systems",8.81,37.68,7.1,62,"-"
157,"Wexner, Leslie HLeslie H Wexner","Limited Brands",8.775,109.37,1537.5,73,"105"
158,"Morris, Michael GMichael G Morris","American Electric",8.65,53.03,17.3,64,"147"
159,"Lance, Howard LHoward L Lance","Harris",8.61,48.86,16.8,55,"111"
160,"Jackson, Michael JMichael J Jackson","AutoNation",8.56,29.46,0.5,62,"60"
161,"Baker, Douglas M JrDouglas M Baker Jr","Ecolab",8.5,29.29,10.4,52,"122"
162,"Richels, JohnJohn Richels","Devon Energy",8.49,,25.1,60,"-"
163,"Lechleiter, John CJohn C Lechleiter","Eli Lilly & Co",8.48,28.792,13,57,"-"
164,"Wynn, Stephen AStephen A Wynn","Wynn Resorts",8.395,44.17,1167.7,69,"14"
165,"West, David JDavid J West","Hershey",8.32,17.672,6.8,48,"-"
166,"Carrabba, Joseph AJoseph A Carrabba","Cliffs",8.2,26.01,15,58,"-"
167,"Ellison, Lawrence JLawrence J Ellison","Oracle",8.2,960.74,33978.6,66,"92"
168,"Weidman, David NDavid N Weidman","Celanese",8.19,19.1,11.9,55,"36"
169,"Rohr, James EJames E Rohr","PNC Financial Services",8.19,60.89,44.3,62,"59"
170,"Steinhafel, Gregg WGregg W Steinhafel","Target",8.095,23.443,26.2,55,"-"
171,"Klesse, William RWilliam R Klesse","Valero Energy",8.07,53.39,22.6,64,"-"
172,"Rossiter, Robert ERobert E Rossiter","Lear",8.065,22.78,0.5,65,"-"
173,"Huntsman, Peter RPeter R Huntsman","Huntsman",7.94,29.29,29.9,48,"183"
174,"Moorman, Charles W IVCharles W Moorman IV","Norfolk Southern",7.9,27.92,20.5,59,"-"
175,"Templeton, Richard KRichard K Templeton","Texas Instruments",7.86,43.57,35.3,52,"107"
176,"Carbonari, Bruce ABruce A Carbonari","Fortune Brands",7.85,16.202,4.2,55,"-"
177,"Hesse, Daniel RDaniel R Hesse","Sprint Nextel",7.785,15.853,6.8,58,"-"
178,"Flaherty, James F IIIJames F Flaherty III","HCP",7.73,33.19,20.7,53,"27"
179,"Henslee, Gregory LGregory L Henslee","O'Reilly Automotive",7.71,17.95,2.3,50,"12"
180,"Ustian, Daniel CDaniel C Ustian","Navistar Intl",7.67,19.13,8.9,60,"119"
181,"Taiclet, James D JrJames D Taiclet Jr","American Tower",7.585,39.03,2.2,50,"7"
182,"Prokopanko, James TJames T Prokopanko","Mosaic",7.58,14.952,6.3,57,"-"
183,"Britt, Glenn AGlenn A Britt","Time Warner Cable",7.515,33.702,2.8,61,"-"
184,"Allen, Samuel RSamuel R Allen","Deere & Co",7.51,,6.3,57,"-"
185,"Wallace, Richard PRichard P Wallace","KLA-Tencor",7.45,16.39,2.8,51,"-"
186,"Sutherlin, Michael WMichael W Sutherlin","Joy Global",7.43,21.402,11,64,"-"
187,"Lundgren, John FJohn F Lundgren","Stanley Black & Decker",7.41,24.81,13.4,59,"51"
188,"Darbee, Peter APeter A Darbee","PG&E",7.345,28.52,9,58,"-"
189,"Smith, Brad DBrad D Smith","Intuit",7.33,13.052,4.4,47,"-"
190,"Zaslav, David MDavid M Zaslav","Discovery Commun",7.335,30.773,0,51,"-"
191,"Davis, Richard KRichard K Davis","US Bancorp",7.32,25.18,11,53,"-"
192,"Stroucken, Albert P LAlbert P L Stroucken","Owens-Illinois",7.28,23.32,10.8,63,"-"
